Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 25/06/2020,0.7134824440834687,0.5342270972983952,0.6636668284470862,0.7134824440834688,0.7134824440834688,0.46863863150392016,0.6571594158096856,0.7134824440834687,0.7459429764804879,0.46863863150392016,0.6571594158096856,0.7134824440834687,0.7459429764804879,0.6839245378776826
27/03/2020 até 25/07/2020,0.6599160286490492,0.5019891500904159,0.621892756181529,0.6599160286490492,0.6599160286490492,0.38363736871199555,0.6333365414988549,0.6599160286490492,0.7651239290625789,0.38363736871199555,0.6333365414988549,0.6599160286490492,0.7651239290625789,0.6827249951638671
26/04/2020 até 24/08/2020,0.6764211234443324,0.42117930204572807,0.5983114063916782,0.6764211234443324,0.6764211234443324,0.32228360957642727,0.6012583919636243,0.6764211234443324,0.7721339650302527,0.32228360957642727,0.6012583919636243,0.6764211234443324,0.7721339650302527,0.6502942045612571
26/05/2020 até 23/09/2020,0.7358490566037735,0.39832285115303984,0.6145505765199161,0.7358490566037735,0.7358490566037735,0.3512014787430684,0.6072796609401616,0.7358490566037735,0.7660174940830446,0.3512014787430684,0.6072796609401616,0.7358490566037735,0.7660174940830446,0.6303083039841514
25/06/2020 até 23/10/2020,0.6982984293193717,0.35161744022503516,0.5775144770421552,0.6982984293193717,0.6982984293193717,0.3351206434316354,0.5753525295080255,0.6982984293193717,0.7093038167705152,0.3351206434316354,0.5753525295080255,0.6982984293193717,0.7093038167705152,0.5807095619312813
25/07/2020 até 22/11/2020,0.6955922865013774,0.3844011142061282,0.5911026614031556,0.6955922865013774,0.6955922865013774,0.4394904458598726,0.6028735181847693,0.6955922865013774,0.6753381866263902,0.4394904458598726,0.6028735181847693,0.6955922865013774,0.6753381866263902,0.5868226135590657
24/08/2020 até 22/12/2020,0.6674298797939324,0.3954214360041623,0.58302457508854,0.6674298797939324,0.6674298797939324,0.4810126582278481,0.6014530746760542,0.6674298797939324,0.6438519619775119,0.4810126582278481,0.6014530746760542,0.6674298797939324,0.6438519619775119,0.5810536677607465
23/09/2020 até 21/01/2021,0.6601788532351394,0.4984472049689441,0.6207430933357052,0.6601788532351394,0.6601788532351394,0.5079113924050633,0.6219620003790486,0.6601788532351394,0.6572990903825612,0.5079113924050633,0.6219620003790486,0.6601788532351394,0.6572990903825612,0.6197650357527672
23/10/2020 até 20/02/2021,0.6885159937073938,0.543778801843318,0.6536569168452258,0.6885159937073938,0.6885159937073938,0.5323308270676692,0.6522362669959925,0.6885159937073938,0.692037076369159,0.5323308270676692,0.6522362669959925,0.6885159937073938,0.692037076369159,0.6554240472688166
22/11/2020 até 22/03/2021,0.7120853080568721,0.5519360786724032,0.6699162499850233,0.7120853080568721,0.7120853080568721,0.5584577114427861,0.6710112631288004,0.7120853080568721,0.7103961157329902,0.5584577114427861,0.6710112631288004,0.7120853080568721,0.7103961157329902,0.6689205954893932
22/12/2020 até 21/04/2021,0.6781899943788645,0.45657332700522063,0.6139923931891744,0.6781899943788645,0.6781899943788645,0.5127931769722814,0.6250988785624766,0.6781899943788645,0.66360729788233,0.5127931769722814,0.6250988785624766,0.6781899943788645,0.66360729788233,0.6100846802478281
21/01/2021 até 21/05/2021,0.6923466801824633,0.4847198641765704,0.6327139783310598,0.6923466801824633,0.6923466801824633,0.5282146160962072,0.6412451789032519,0.6923466801824633,0.6812326765410205,0.5282146160962072,0.6412451789032519,0.6923466801824633,0.6812326765410205,0.628451707152348
