Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 25/06/2020,0.6827507598784195,0.58601883986118,0.6644291920279106,0.6827507598784195,0.6827507598784195,0.44727547931382444,0.6837089502367698,0.6827507598784195,0.7951584662923933,0.849544801149976,0.7361857247271657,0.6827507598784195,0.6827507598784195,0.7361857247271657
27/03/2020 até 25/07/2020,0.6333849329205367,0.5178147268408552,0.6110405580093974,0.6333849329205367,0.6333849329205367,0.3753074274471225,0.6466878971201971,0.6333849329205367,0.7900798480723275,0.8347921225382933,0.7030138870625295,0.6333849329205367,0.6333849329205367,0.7030138870625295
26/04/2020 até 24/08/2020,0.6619572708476913,0.45530260966129926,0.6051182046557808,0.6619572708476913,0.6619572708476913,0.3314470493128537,0.6194772784101806,0.6619572708476913,0.7955508919245354,0.7269503546099291,0.686614612719849,0.6619572708476913,0.6619572708476912,0.686614612719849
26/05/2020 até 23/09/2020,0.6800373134328358,0.4235294117647059,0.6010481145330953,0.6800373134328358,0.6800373134328358,0.32101910828025476,0.6042181634116506,0.6800373134328358,0.7804250381995619,0.6222222222222222,0.6578621174365855,0.6800373134328358,0.6800373134328358,0.6578621174365855
25/06/2020 até 23/10/2020,0.6479250334672021,0.41685144124168516,0.5823471012536325,0.6479250334672021,0.6479250334672021,0.33098591549295775,0.5866592644419433,0.6479250334672021,0.7280154801259204,0.562874251497006,0.6176440223002271,0.6479250334672021,0.6479250334672021,0.6176440223002272
25/07/2020 até 22/11/2020,0.6526315789473685,0.4530386740331492,0.5992699796900964,0.6526315789473685,0.6526315789473685,0.40594059405940597,0.5969920361601377,0.6526315789473685,0.6807865283095814,0.5125,0.6099085365853658,0.6526315789473685,0.6526315789473685,0.6099085365853658
24/08/2020 até 22/12/2020,0.6637579988365329,0.42998027613412226,0.5957657156248168,0.6637579988365329,0.6637579988365329,0.4780701754385965,0.6044349293661707,0.6637579988365329,0.6487618325763669,0.3906810035842294,0.5928426551082215,0.6637579988365329,0.6637579988365329,0.5928426551082215
23/09/2020 até 21/01/2021,0.6843783209351754,0.5330188679245282,0.6473280535449286,0.6843783209351754,0.6843783209351754,0.5441412520064205,0.6489570437951087,0.6843783209351754,0.681482241672151,0.522342064714946,0.6460047712058103,0.6843783209351754,0.6843783209351754,0.6460047712058103
23/10/2020 até 20/02/2021,0.6794258373205742,0.5510052122114669,0.6508643258246256,0.6794258373205742,0.6794258373205742,0.5146036161335188,0.6480074879290658,0.6794258373205742,0.6929009758857809,0.592948717948718,0.6576517654978276,0.6794258373205742,0.6794258373205742,0.6576517654978277
22/11/2020 até 22/03/2021,0.675751503006012,0.526623756582797,0.6400262946278813,0.675751503006012,0.675751503006012,0.5022321428571429,0.637607628651836,0.675751503006012,0.6847584491550778,0.5535055350553506,0.6441725059343341,0.675751503006012,0.675751503006012,0.6441725059343341
22/12/2020 até 21/04/2021,0.6945464820570783,0.5354533734422003,0.6539611636733207,0.6945464820570783,0.6945464820570783,0.5356835769561479,0.6539949871312726,0.6945464820570783,0.6944796205650323,0.5352233676975945,0.6539274733224815,0.6945464820570783,0.6945464820570783,0.6539274733224814
21/01/2021 até 21/05/2021,0.6762028608582574,0.4887063655030801,0.6258945719047275,0.6762028608582574,0.6762028608582574,0.5055225148683092,0.6285108826215609,0.6762028608582574,0.6710210362611113,0.47297297297297297,0.624000982041183,0.6762028608582574,0.6762028608582574,0.624000982041183
20/02/2021 até 20/06/2021,0.6868208414600168,0.5347682119205298,0.6493664663130578,0.6868208414600168,0.6868208414600168,0.49013657056145676,0.6455526534004994,0.6868208414600168,0.7058743595567508,0.5883424408014571,0.6592856322835066,0.6868208414600168,0.6868208414600168,0.6592856322835066
22/03/2021 até 20/07/2021,0.6904262753319357,0.541407867494824,0.653879039232644,0.6904262753319357,0.6904262753319357,0.47244805781391147,0.6501841428670697,0.6904262753319357,0.7254518350698747,0.6339393939393939,0.6736216360958629,0.6904262753319357,0.6904262753319357,0.6736216360958629
21/04/2021 até 19/08/2021,0.6987951807228916,0.5554614733276885,0.6638478733232802,0.6987951807228916,0.6987951807228916,0.5173501577287066,0.6599374774216121,0.6987951807228916,0.713029370984834,0.5996343692870201,0.6718907632388278,0.6987951807228916,0.6987951807228916,0.6718907632388278
21/05/2021 até 18/09/2021,0.6903508771929825,0.5782556750298686,0.6668132152003121,0.6903508771929825,0.6903508771929825,0.5170940170940171,0.664052960927961,0.6903508771929825,0.7158753253325622,0.6558265582655827,0.6813503738150222,0.6903508771929825,0.6903508771929825,0.6813503738150222
20/06/2021 até 18/10/2021,0.5982456140350877,0.4842342342342342,0.5776056228642436,0.5982456140350877,0.5982456140350877,0.3758741258741259,0.5990286122328375,0.5982456140350877,0.6984693833470704,0.680379746835443,0.6235636598254886,0.5982456140350877,0.5982456140350877,0.6235636598254886
