Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 26/05/2020,0.7650403730239964,0.5585470085470086,0.6992332129361418,0.7650403730239964,0.7650403730239964,0.49190816710575835,0.6876098853781725,0.7650403730239964,0.7932616602717413,0.49190816710575835,0.6876098853781725,0.7650403730239964,0.7932616602717413,0.7233305173663871
27/03/2020 até 25/06/2020,0.6658400495970241,0.5438645980253879,0.6401044822835239,0.6658400495970241,0.6658400495970241,0.43054935238945957,0.649505445425499,0.6658400495970241,0.7502732113257388,0.43054935238945957,0.649505445425499,0.6658400495970241,0.7502732113257388,0.6886242988337048
26/04/2020 até 25/07/2020,0.6863057324840764,0.45429362880886426,0.6170909484826443,0.6863057324840764,0.6863057324840764,0.3620309050772627,0.6156356268848331,0.6863057324840764,0.7606103006569952,0.3620309050772627,0.6156356268848331,0.6863057324840764,0.7606103006569952,0.6584294716067238
26/05/2020 até 24/08/2020,0.7419052088221493,0.3176178660049628,0.5792371737432221,0.7419052088221493,0.7419052088221493,0.31527093596059114,0.5787948882701507,0.7419052088221493,0.743389154119059,0.31527093596059114,0.5787948882701507,0.7419052088221493,0.743389154119059,0.5796995956094744
25/06/2020 até 23/09/2020,0.7432897453544391,0.28952380952380957,0.5664334713305734,0.7432897453544393,0.7432897453544393,0.296875,0.5678192878028404,0.7432897453544391,0.7384414649119933,0.296875,0.5678192878028404,0.7432897453544391,0.7384414649119933,0.5652504270069326
25/07/2020 até 23/10/2020,0.7130177514792899,0.3152941176470588,0.5668797475322006,0.7130177514792899,0.7130177514792899,0.3641304347826087,0.5772459402828706,0.7130177514792899,0.6890580200916865,0.3641304347826087,0.5772459402828706,0.7130177514792899,0.6890580200916865,0.5633249773206722
24/08/2020 até 22/11/2020,0.6660550458715596,0.28063241106719367,0.5315945806829397,0.6660550458715596,0.6660550458715596,0.37566137566137564,0.5513157044788565,0.6660550458715596,0.624800451213509,0.37566137566137564,0.5513157044788565,0.6660550458715596,0.624800451213509,0.5356613791161479
23/09/2020 até 22/12/2020,0.6406130268199234,0.3422159887798036,0.5474917582275401,0.6406130268199234,0.6406130268199234,0.4404332129963899,0.5674928710896346,0.6406130268199234,0.6096513630086958,0.4404332129963899,0.5674928710896346,0.6406130268199234,0.6096513630086958,0.5507252879509296
23/10/2020 até 21/01/2021,0.6769125683060109,0.4726867335562988,0.6198982658426497,0.6769125683060109,0.6769125683060109,0.5408163265306123,0.6337477155041121,0.6769125683060109,0.6625666025218505,0.5408163265306123,0.6337477155041121,0.6769125683060109,0.6625666025218505,0.6160532320176751
22/11/2020 até 20/02/2021,0.6812804453723034,0.48190045248868785,0.6258748493599218,0.6812804453723034,0.6812804453723034,0.535175879396985,0.6362116163106195,0.6812804453723034,0.6689058526814199,0.535175879396985,0.6362116163106195,0.6812804453723034,0.6689058526814199,0.6218697667172957
