Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 26/05/2020,0.7768679631525077,0.5030395136778115,0.679588388603094,0.7768679631525077,0.7768679631525077,0.5158441558441559,0.6829366382016353,0.7768679631525077,0.7731433951390804,0.5158441558441559,0.6829366382016353,0.7768679631525077,0.7731433951390804,0.6765944956486374
27/03/2020 até 25/06/2020,0.6685265550733622,0.5318155283129012,0.637628813420686,0.6685265550733622,0.6685265550733622,0.42971698113207546,0.6422214916693845,0.6685265550733622,0.74002011637833,0.42971698113207546,0.6422214916693845,0.6685265550733622,0.74002011637833,0.6776738378768722
26/04/2020 até 25/07/2020,0.652468152866242,0.44500953591862685,0.596019691169977,0.652468152866242,0.652468152866242,0.33816425120772947,0.6054396069850428,0.652468152866242,0.758229181386405,0.33816425120772947,0.6054396069850428,0.652468152866242,0.758229181386405,0.6517732379671792
26/05/2020 até 24/08/2020,0.7160957297043642,0.3769309989701338,0.596548149135629,0.7160957297043642,0.7160957297043642,0.3204903677758319,0.590693901836634,0.7160957297043642,0.7594601636080687,0.3204903677758319,0.590693901836634,0.7160957297043642,0.7594601636080687,0.6166760543038706
25/06/2020 até 23/09/2020,0.7343427391603579,0.339041095890411,0.5864025462225526,0.734342739160358,0.734342739160358,0.3142857142857143,0.5824504142606075,0.7343427391603579,0.751322197107839,0.3142857142857143,0.5824504142606075,0.7343427391603579,0.751322197107839,0.5927986536722596
25/07/2020 até 23/10/2020,0.7110453648915187,0.36717062634989206,0.5899750895327736,0.7110453648915187,0.7110453648915187,0.38288288288288286,0.592956592956593,0.7110453648915187,0.703172780095857,0.38288288288288286,0.592956592956593,0.7110453648915187,0.703172780095857,0.5877327650529005
24/08/2020 até 22/11/2020,0.6743119266055045,0.3238095238095238,0.5546540066177528,0.6743119266055045,0.6743119266055045,0.40865384615384615,0.5728076487005058,0.6743119266055045,0.6414811660961726,0.40865384615384615,0.5728076487005058,0.6743119266055045,0.6414811660961726,0.5545092453915875
23/09/2020 até 22/12/2020,0.6689655172413793,0.44041450777202074,0.6026882114485783,0.6689655172413793,0.6689655172413793,0.5059523809523809,0.6157212885154062,0.6689655172413793,0.6521426961589233,0.5059523809523809,0.6157212885154062,0.6689655172413793,0.6521426961589233,0.5994420455865119
23/10/2020 até 21/01/2021,0.6851092896174863,0.5422045680238332,0.6511126952560603,0.6851092896174863,0.6851092896174863,0.5438247011952191,0.651330230015489,0.6851092896174863,0.6846686931878949,0.5438247011952191,0.651330230015489,0.6851092896174863,0.6846686931878949,0.6509018263661611
22/11/2020 até 20/02/2021,0.697981906750174,0.5525773195876289,0.6623180715585204,0.697981906750174,0.697981906750174,0.5537190082644629,0.6624838483085169,0.697981906750174,0.6976791514542964,0.5537190082644629,0.6624838483085169,0.697981906750174,0.6976791514542964,0.6621554958393374
22/12/2020 até 22/03/2021,0.6993110236220472,0.5230288836846213,0.6517408162584084,0.6993110236220472,0.6993110236220472,0.5377207062600321,0.6542400550462687,0.6993110236220472,0.6952970696776395,0.5377207062600321,0.6542400550462687,0.6993110236220472,0.6952970696776395,0.6497557770669357
