Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 26/05/2020,0.7411577391106562,0.5582298136645963,0.6875916641107283,0.7411577391106562,0.7411577391106562,0.4595717481623522,0.6781439249286337,0.7411577391106562,0.7961425742075531,0.7108255066732575,0.7305235362022122,0.7411577391106562,0.7411577391106562,0.7305235362022122
27/03/2020 até 25/06/2020,0.6009506096300888,0.5403475363008807,0.5938911316706157,0.6009506096300888,0.6009506096300888,0.3920552677029361,0.6520461523699865,0.6009506096300888,0.7716989112361824,0.8690658499234303,0.6854528230653099,0.6009506096300888,0.6009506096300888,0.6854528230653099
26/04/2020 até 25/07/2020,0.5656847133757962,0.4644084437898871,0.5495795148309999,0.5656847133757962,0.5656847133757962,0.31554369579719815,0.6256889258847788,0.5656847133757962,0.8029853233393033,0.879182156133829,0.679712658614027,0.5656847133757962,0.5656847133757962,0.679712658614027
26/05/2020 até 24/08/2020,0.6175504458000939,0.43754313319530713,0.5739084311550655,0.6175504458000939,0.6175504458000939,0.30219256434699715,0.6127413838370845,0.6175504458000939,0.8067068830117943,0.7925,0.6848115251299827,0.6175504458000939,0.6175504458000939,0.6848115251299827
25/06/2020 até 23/09/2020,0.6551961459050241,0.40710059171597635,0.5820073555377553,0.6551961459050241,0.6551961459050241,0.2986111111111111,0.5940033890789307,0.6551961459050241,0.7800212379024373,0.6394052044609665,0.6490944941223751,0.6551961459050241,0.6551961459050241,0.6490944941223751
25/07/2020 até 23/10/2020,0.6617357001972387,0.4632237871674491,0.6081417711935158,0.6617357001972387,0.6617357001972387,0.37185929648241206,0.6104426352541931,0.6617357001972387,0.7356165368583227,0.6141078838174274,0.645346309308455,0.6617357001972387,0.6617357001972387,0.645346309308455
24/08/2020 até 22/11/2020,0.6568807339449542,0.45797101449275357,0.6034821515416788,0.6568807339449542,0.6568807339449542,0.42359249329758714,0.6009175855609274,0.6568807339449542,0.6751012938839396,0.49842271293375395,0.6101427924306544,0.6568807339449542,0.6568807339449542,0.6101427924306545
23/09/2020 até 22/12/2020,0.6590038314176245,0.5426515930113052,0.6354064318141437,0.6590038314176245,0.6590038314176245,0.49162011173184356,0.6338308891992551,0.6590038314176245,0.681016534136718,0.6055045871559633,0.6456751934629068,0.6590038314176245,0.6590038314176245,0.6456751934629068
23/10/2020 até 21/01/2021,0.6338797814207651,0.5518394648829431,0.6211853213560212,0.6338797814207651,0.6338797814207651,0.47756874095513746,0.6255890276573877,0.6338797814207651,0.6714914936155991,0.6534653465346535,0.6385157806708721,0.6338797814207651,0.6338797814207651,0.6385157806708721
22/11/2020 até 20/02/2021,0.6583159359777314,0.582837723024639,0.6467518019955252,0.6583159359777314,0.6583159359777314,0.4963820549927641,0.6523465234749344,0.6583159359777314,0.7028151928167639,0.7057613168724279,0.6699153587516714,0.6583159359777314,0.6583159359777314,0.6699153587516714
22/12/2020 até 22/03/2021,0.6505905511811023,0.5702179176755447,0.6379281959853678,0.6505905511811023,0.6505905511811023,0.4738430583501006,0.6468444578841062,0.6505905511811023,0.7078036124443169,0.71580547112462,0.6675825026656579,0.6505905511811023,0.6505905511811023,0.6675825026656579
